S.No.,Name,Mar Cap - Crore,Sales Qtr - Crore
143,KIOCL,185341500000.0,4428100000.0
144,Voltas,184534400000.0,13746700000.0
145,Godrej Inds.,182980900000.0,24584800000.0
146,Whirlpool India,182540600000.0,9580100000.0
147,Sundaram Finance,181598500000.0,6772300000.0
148,Federal Bank,180868100000.0,25012000000.0
149,Tata Comm,179635500000.0,41146300000.0
151,Tata Chemicals,179414700000.0,25739100000.0
152,Exide Inds.,179307500000.0,22765400000.0
153,IDFC Bank,177627700000.0,22837199999.999996
154,NBCC,177120000000.0,13215000000.0
155,IDBI Bank,175593500000.0,57972000000.0
156,The Ramco Cement,172465800000.00003,10563599999.999998
157,Dewan Hsg. Fin.,170975400000.0,26316000000.0
158,MphasiS,167287800000.0,16606900000.0
159,Apollo Hospitals,166839700000.0,18961400000.0
160,Reliance Nip.Lif,166555800000.00003,3940000000.0
161,Tata Global,165892400000.00003,17303900000.0
162,Godrej Propert.,165455099999.99997,6270300000.0
163,AU Small Finance,164536699999.99997,4641700000.0
164,Indian Hotels,161501300000.0,11972600000.0
165,Motil.Oswal.Fin.,161081500000.0,7286300000.0
166,H U D C O,160652500000.0,10644900000.0
167,Oberoi Realty,160445100000.0,3562000000.0
168,Indian Bank,157391600000.0,43542200000.0
169,SJVN,155123500000.0,4365800000.0
170,Bank of India,153398700000.0,93348400000.0
171,Supreme Inds.,152489400000.0,12783000000.0
172,Muthoot Finance,152267200000.0,15537100000.0
173,NLC India,152016100000.0,17064800000.0
176,Info Edg.(India),148450500000.0,
177,Glenmark Pharma.,147855300000.0,22036700000.0
178,Jubilant Life,147750800000.0,20677600000.000004
179,Crompton Gr. Con,146385700000.0,9381900000.0
180,Honeywell Auto,145262400000.0,7214800000.0
181,Natco Pharma,144569000000.0,
182,PC Jeweller,143348100000.0,26448900000.0
183,Quess Corp,143301900000.0,15839500000.0
184,CRISIL,141648100000.0,4411300000.0
185,WABCO India,138436400000.0,6499100000.0
186,Amara Raja Batt.,137743200000.0,15534600000.0
189,Sterlite Tech.,137439500000.0,8351799999.999999
190,AIA Engg.,135933500000.0,5721600000.0
191,KRBL,134925500000.0,7835100000.0
192,Max Financial,134017600000.0,
193,Indiabulls Vent.,133961500000.0,2384300000.0
194,Century Textiles,133699700000.0,20693900000.0
195,Jubilant Food.,131784300000.0,7951700000.0
196,Bayer Crop Sci.,131667600000.0,
197,Graphite India,131299000000.0,9330600000.0
198,JSW Energy,131040000000.0,19932000000.0
199,Central Bank,130461800000.0,60265500000.0
201,CESC,129965600000.0,17060000000.0
202,Shri.City Union.,129953100000.0,13380900000.0
203,L&T Technology,129422500000.0,
204,Rain Industries,126551700000.0,30508100000.0
205,Torrent Power,125993700000.00002,27546400000.0
206,Dilip Buildcon,125260600000.0,19421200000.0
207,TI Financial,125079100000.0,8866800000.0
208,JM Financial,123826400000.0,8377300000.0
209,Adani Power,120915000000.0,48444600000.0
210,Reliance Power,120339900000.0,24946500000.0
211,Reliance Capital,119668300000.0,47490000000.0
212,Syngene Intl.,119500000000.0,
213,Abbott India,119241200000.00002,8814900000.0
214,Hatsun AgroProd.,118965200000.0,10129400000.0
215,Symphony,118825500000.0,2176300000.0
216,Gujarat Gas,117597700000.0,15713300000.0
217,Reliance Infra.,117372400000.0,58610400000.0
218,Aditya Bir. Fas.,117181700000.0,18550000000.0
219,Ajanta Pharma,116518000000.0,5870500000.0
220,P I Inds.,115642200000.0,5377400000.0
221,City Union Bank,115544000000.0,
222,Varun Beverages,114983000000.0,
223,Mindtree,114387800000.0,13777000000.0
224,Prestige Estates,113531299999.99998,12723000000.0
225,Future Consumer,112031500000.0,
226,Sundram Fasten.,112025300000.0,
227,Sanofi India,111824500000.0,
228,Guj.St.Petronet,110647400000.0,
229,Godrej Agrovet,109187500000.0,
230,Finolex Cables,109007500000.0,
231,Bombay Burmah,108645300000.0,
232,SRF,108426200000.00002,13970600000.0
233,GE T&D India,107784200000.0,14385500000.0
234,Alembic Pharma,107642900000.00002,
235,SPARC,107551299999.99998,
236,GMR Infra.,106534400000.0,20722900000.0
237,HEG,106307600000.0,
238,Trent,105892700000.0,
239,Engineers India,105655600000.0,
240,Avanti Feeds,105581299999.99998,
241,Pfizer,105084800000.0,
242,Escorts,104505600000.0,12050300000.0
243,Tata Motors-DVR,104420900000.0,77696700000.0
244,Blue Dart Exp.,104224500000.0,
245,Indbull.RealEst.,103384000000.0,21001300000.0
246,ERIS Lifescience,102898100000.0,
247,Arvind Ltd,102477000000.0,27057500000.0
248,Sundaram Clayton,100743600000.0,
249,Hexaware Tech.,98850500000.0,10048300000.0
255,SKF India,95691400000.0,
256,Delta Corp,95315700000.0,
257,Union Bank (I),95288200000.0,82604700000.0
258,TV18 Broadcast,94632700000.0,
259,Minda Inds.,94570400000.00002,10561600000.0
260,Solar Inds.,93177600000.0,
261,Kajaria Ceramics,93065400000.00002,6611600000.0
262,Astral Poly,91621400000.0,5285400000.0
263,Bata India,91453799999.99998,6740000000.0
264,Phoenix Mills,90973300000.0,4166100000.0
267,BASF India,87783500000.0,12787400000.0
268,DCM Shriram,86819500000.0,17837300000.0
269,Infibeam Incorp.,86465400000.00002,2134800000.0
270,Aegis Logistics,86138600000.0,14420800000.0
271,Mahindra CIE,85870400000.00002,
272,Jet Airways,85398799999.99998,60862000000.0
273,SpiceJet,84582400000.0,20819500000.0
274,Thomas Cook (I),84406500000.0,30054500000.0
275,Guj Fluorochem,84397700000.0,9689700000.0
276,Wockhardt,84285800000.0,10053000000.0
277,Akzo Nobel,83894700000.0,7119900000.0
278,I D F C,83808600000.0,27895800000.0
279,Security & Intel,82470800000.0,15377200000.0
280,Asahi India Glas,81839600000.0,6403800000.0
281,TTK Prestige,81533300000.0,4579700000.0
282,ITI,81246000000.0,2509700000.0
283,Karur Vysya Bank,80657000000.0,14223200000.0
284,Vardhman Textile,80237400000.0,16479800000.0
285,Fortis Health.,79664300000.0,11566099999.999998
286,Ipca Labs.,79430300000.0,8592100000.0
287,Sheela Foam,78157400000.0,5322100000.0
288,IRB Infra.Devl.,78127300000.0,12961900000.0
289,Atul,77890100000.0,8036799999.999999
290,Finolex Inds.,77841700000.0,7227200000.0
291,Dish TV,77659100000.0,7407700000.0
292,Rel. Comm.,77020100000.0,11440000000.0
293,Dr Lal Pathlabs,75507800000.0,2627000000.0
294,OCL India,74530500000.0,8592400000.0
295,NCC,74390100000.0,27802600000.000004
296,Relaxo Footwear,72519100000.0,4575000000.0
297,J K Cements,72307600000.0,11261099999.999998
298,G N F C,72083800000.0,15908900000.000002
299,Cochin Shipyard,71549900000.0,6150400000.0
301,Birla Corpn.,71376700000.0,13893200000.0
302,Future Lifestyle,70091300000.0,11889700000.0
303,Century Ply.,69662300000.0,5099300000.0
304,Blue Star,69529900000.0,9813000000.0
305,Kalpataru Power,69502300000.0,14173699999.999998
306,Suzlon Energy,69423100000.0,11930600000.0
307,Cyient,69219700000.0,9833000000.0
308,Hind.Copper,69021400000.0,4401400000.0
309,Guj Pipavav Port,68648500000.0,1626800000.0
310,Carborundum Uni.,68381800000.0,6115900000.0
311,Can Fin Homes,68115000000.0,3921000000.0
312,Sadbhav Engg.,67950600000.00001,21533400000.0
313,Advanta,67424100000.0,3616800000.0
314,Capital First,67106300000.0,9876400000.0
315,Lak. Mach. Works,66548100000.00001,5424200000.0
316,Himadri Specialt,66464100000.0,5000800000.0
317,Coffee Day Enter,66016200000.0,9653000000.0
318,PVR,65913100000.00001,5572500000.0
319,Chambal Fert.,65427900000.0,23301000000.0
320,Vijaya Bank,65315800000.0,31352300000.0
321,Welspun India,65206700000.0,13979500000.0
322,CEAT,64762600000.0,15741500000.0
323,Strides Shasun,64695100000.0,7490400000.0
324,Narayana Hrudaya,63791200000.0,5538400000.0
325,Jyothy Lab.,63246200000.0,4312100000.0
326,Johnson Con. Hit,62091100000.0,3774000000.0
327,Prism Cement,61762299999.99999,
